route,carrier_name,window,flights,exp_delay,delayed
DEN-LAX,Delta Air Lines,morning,276,12.210144927536232,0.10144927536231885
DEN-LAX,Delta Air Lines,afternoon,241,10.365145228215768,0.11618257261410789
DEN-LAX,Delta Air Lines,evening,230,37.85217391304348,0.40869565217391307
DEN-LAX,Frontier Airlines,morning,268,11.75,0.11194029850746269
DEN-LAX,Frontier Airlines,evening,386,23.085492227979273,0.32124352331606215
DEN-LAX,SkyWest Airlines,morning,374,11.042780748663102,0.12032085561497326
DEN-LAX,SkyWest Airlines,afternoon,389,8.233933161953727,0.13624678663239073
DEN-LAX,SkyWest Airlines,evening,476,31.814736842105262,0.32421052631578945
DEN-LAX,Southwest Airlines,morning,726,5.862068965517241,0.1406896551724138
DEN-LAX,Southwest Airlines,afternoon,479,14.44142259414226,0.2928870292887029
DEN-LAX,Southwest Airlines,evening,722,28.8876560332871,0.4618585298196949
DEN-LAX,United Airlines,morning,1280,4.863956215793589,0.08522283033620015
DEN-LAX,United Airlines,afternoon,729,10.419753086419753,0.1550068587105624
DEN-LAX,United Airlines,evening,1068,19.94194756554307,0.26685393258426965
DEN-PHX,American Airlines,morning,483,27.60248447204969,0.2194616977225673
DEN-PHX,American Airlines,afternoon,398,20.201511335012594,0.1964735516372796
DEN-PHX,Frontier Airlines,morning,506,12.430830039525691,0.16205533596837945
DEN-PHX,Frontier Airlines,afternoon,238,16.189075630252102,0.2184873949579832
DEN-PHX,Frontier Airlines,evening,645,24.544323483670297,0.3359253499222395
DEN-PHX,Southwest Airlines,morning,1494,6.594902749832327,0.1374916163648558
DEN-PHX,Southwest Airlines,afternoon,1210,18.970223325062033,0.3093465674110835
DEN-PHX,Southwest Airlines,evening,1134,33.75618374558304,0.48674911660777387
DEN-PHX,United Airlines,morning,917,8.700546448087431,0.15737704918032788
DEN-PHX,United Airlines,afternoon,628,12.756369426751592,0.1942675159235669
DEN-PHX,United Airlines,evening,839,23.954653937947494,0.3054892601431981
DEN-SLC,Delta Air Lines,morning,687,17.05393586005831,0.11370262390670553
DEN-SLC,Delta Air Lines,afternoon,629,13.318471337579618,0.1926751592356688
DEN-SLC,Delta Air Lines,evening,365,26.634615384615383,0.3434065934065934
DEN-SLC,Frontier Airlines,morning,530,9.837735849056603,0.13962264150943396
DEN-SLC,Frontier Airlines,evening,383,27.62924281984334,0.3263707571801567
DEN-SLC,SkyWest Airlines,afternoon,398,11.35427135678392,0.1884422110552764
DEN-SLC,SkyWest Airlines,evening,793,20.106060606060606,0.2638888888888889
DEN-SLC,Southwest Airlines,morning,814,6.260762607626076,0.13653136531365315
DEN-SLC,Southwest Airlines,afternoon,731,12.716438356164383,0.2465753424657534
DEN-SLC,Southwest Airlines,evening,824,30.434306569343065,0.451338199513382
DEN-SLC,United Airlines,morning,659,9.088145896656535,0.1656534954407295
DEN-SLC,United Airlines,afternoon,328,17.067073170731707,0.2530487804878049
DEN-SLC,United Airlines,evening,333,26.3003003003003,0.37237237237237236
HNL-LIH,Alaska Airlines,morning,632,7.648177496038035,0.12995245641838352
HNL-LIH,Alaska Airlines,afternoon,450,18.31111111111111,0.37555555555555553
HNL-LIH,Alaska Airlines,evening,349,13.512893982808023,0.2521489971346705
HNL-LIH,Hawaiian Airlines,morning,1888,4.40552016985138,0.0737791932059448
HNL-LIH,Hawaiian Airlines,afternoon,1396,9.083094555873926,0.1840974212034384
HNL-LIH,Hawaiian Airlines,evening,1314,6.162861491628615,0.1111111111111111
HNL-LIH,Southwest Airlines,morning,675,3.9851851851851854,0.05037037037037037
HNL-LIH,Southwest Airlines,afternoon,372,7.706989247311828,0.13172043010752688
HNL-LIH,Southwest Airlines,evening,722,4.8988919667590025,0.08033240997229917
HNL-OGG,Alaska Airlines,morning,613,6.246329526916803,0.11745513866231648
HNL-OGG,Alaska Airlines,afternoon,797,17.7937106918239,0.3660377358490566
HNL-OGG,Alaska Airlines,evening,374,14.833333333333334,0.26344086021505375
HNL-OGG,Hawaiian Airlines,morning,2092,3.950286806883365,0.06644359464627152
HNL-OGG,Hawaiian Airlines,afternoon,2346,8.296375266524521,0.1812366737739872
HNL-OGG,Hawaiian Airlines,evening,1210,6.74297520661157,0.12231404958677686
HNL-OGG,Southwest Airlines,morning,1039,2.0914340712223294,0.03176130895091434
HNL-OGG,Southwest Airlines,afternoon,1090,4.563820018365473,0.08539944903581267
HNL-OGG,Southwest Airlines,evening,733,4.467213114754099,0.07377049180327869
JFK-LAX,American Airlines,morning,1399,12.039370078740157,0.12598425196850394
JFK-LAX,American Airlines,afternoon,717,18.199442119944212,0.20641562064156208
JFK-LAX,American Airlines,evening,1070,30.42843779232928,0.29747427502338636
JFK-LAX,Delta Air Lines,morning,1423,12.725035161744023,0.18354430379746836
JFK-LAX,Delta Air Lines,afternoon,997,19.58492462311558,0.23417085427135678
JFK-LAX,Delta Air Lines,evening,875,23.93821510297483,0.2780320366132723
