Origin,dep_hour,flights,delayed
LAX,18,10558,0.22861748530248435
LAX,19,9260,0.19874499621335065
LAX,20,5590,0.23396632031529918
LAX,21,8432,0.19639040607931607
LAX,22,8279,0.19443772672309553
LAX,23,7062,0.20900824097755044
MCO,5,2334,0.060918060918060915
MCO,6,10851,0.0696622993172172
MCO,7,12584,0.094752766940043
MCO,8,10835,0.13209465705305973
MCO,9,11532,0.16145561924613513
MCO,10,10042,0.18130113749750548
MCO,11,10001,0.22202166064981949
MCO,12,8471,0.25832050219116426
MCO,13,7249,0.2592387543252595
MCO,14,8233,0.29020851115717594
MCO,15,9905,0.33438101997363884
MCO,16,8892,0.3542960370328554
MCO,17,10200,0.38131760078662735
MCO,18,8722,0.3891891891891892
MCO,19,12172,0.4100535640708694
MCO,20,9358,0.42396658813450416
MCO,21,5082,0.4422318611987382
MCO,22,2099,0.40820219360991894
MCO,23,750,0.2696929238985314
ORD,5,2923,0.12170037709976003
ORD,6,9356,0.13295478894364687
ORD,7,24957,0.1512436211676779
ORD,8,28469,0.2043661971830986
ORD,9,24200,0.2234518776423775
ORD,10,23997,0.23381294964028776
ORD,11,18071,0.2468484478258455
ORD,12,16448,0.2507013050371997
ORD,13,22291,0.2634633553785936
ORD,14,22890,0.30127614787527957
ORD,15,17519,0.31521054139215127
ORD,16,19679,0.34978606356968217
ORD,17,15900,0.376615190671289
ORD,18,25061,0.3603567571891373
ORD,19,22292,0.3840856924254017
ORD,20,21028,0.36851896017171476
ORD,21,13155,0.3548264021365891
ORD,22,6578,0.391065711236469
ORD,23,95,0.5425531914893617
PHX,5,3979,0.05612886987163353
PHX,6,7936,0.06684356835986859
PHX,7,12154,0.09694971145919208
PHX,8,17138,0.14186101019571076
PHX,9,13785,0.16133022849657983
PHX,10,14979,0.17319146088469517
PHX,11,12125,0.18141958967571145
PHX,12,10135,0.21603408978297492
PHX,13,11521,0.21592689295039164
PHX,14,9699,0.24389486754966888
PHX,15,11783,0.2719768530337844
PHX,16,14480,0.26718349830414617
PHX,17,10565,0.2598215980261909
PHX,18,9876,0.30707542381484115
PHX,19,9564,0.2778477029578351
PHX,20,9988,0.27846323603169826
PHX,21,6172,0.2617733030204612
PHX,22,4594,0.25310660562459125
PHX,23,4173,0.1665067178502879
SEA,5,2549,0.0607016160819866
SEA,6,5023,0.09149021174590491
SEA,7,12377,0.1271502758844531
SEA,8,12543,0.1608
SEA,9,12236,0.18540983606557376
SEA,10,10106,0.2398688915375447
SEA,11,15514,0.294444803725021
SEA,12,7468,0.24098977945131791
SEA,13,8854,0.2289348171701113
SEA,14,5929,0.23628977657413677
SEA,15,11772,0.24718333902355752
SEA,16,5191,0.2520748890175642
SEA,17,11423,0.255222046691241
SEA,18,6857,0.2734592299809691
SEA,19,9412,0.22217493083634815
SEA,20,5005,0.2574
SEA,21,8819,0.23634298693923908
SEA,22,4749,0.2743773744195863
SEA,23,7046,0.21883892999430848
SFO,5,3433,0.05023364485981308
SFO,6,6781,0.08495862884160757
SFO,7,8923,0.10120454801305866
SFO,8,12194,0.14432650374393155
SFO,9,10193,0.16190100571879315
SFO,10,10622,0.22447823212767967
SFO,11,9290,0.24821852731591448
SFO,12,5831,0.23606331727460428
SFO,13,11375,0.2503085875506965
SFO,14,5342,0.26576576576576577
SFO,15,3842,0.2753131524008351
SFO,16,13232,0.2315270935960591
SFO,17,2914,0.20859106529209623
SFO,18,7629,0.1896937031681346
SFO,19,5348,0.23210940427126264
SFO,20,4260,0.2629594721960415
SFO,21,8221,0.22559785261102977
SFO,22,7458,0.210151738955284
SFO,23,6061,0.19319120806478268
National,5,193450,0.08637333499057444
National,6,473684,0.10165076973856818
National,7,508229,0.1289006553535003
National,8,478793,0.1473268313518901
National,9,392222,0.16276888316362
National,10,431914,0.1768104839177723
National,11,429565,0.1985775029713189
National,12,412163,0.21634039444850256
National,13,413451,0.2326823406605411
National,14,396145,0.26381209169373926
National,15,398219,0.28392939076594176
National,16,397150,0.30359082938759835
National,17,434477,0.3187060523654966
National,18,406940,0.32626608236832966
National,19,376554,0.33236513307650734
National,20,300404,0.32641715940790966
National,21,232235,0.2972498284649011
National,22,151668,0.2946395539347815
National,23,55795,0.20762003987856797
