route,flights,delayed,severity,cancelled,cascade,distance,z_delayed,z_severity,z_cancelled,z_cascade,score,origin,dest,origin_lat,origin_lon,dest_lat,dest_lon
SAT-ATL,3140,0.16807268007787152,13.248539909149903,0.012420382165605096,32.4015444015444,874.0,-1.033039129058216,-0.730579348001392,-0.4735350844469301,0.36547410626032906,-0.4679198638115522,SAT,ATL,29.533701,-98.469803,33.6367,-84.428101
SAT-CLT,1378,0.14074074074074075,19.9,0.019593613933236574,58.18421052631579,1095.0,-1.515860328304717,0.3563859902040201,0.062328534133208505,2.8594951608307424,0.4405873392158135,SAT,CLT,29.533701,-98.469803,35.2140007019043,-80.94309997558594
SAT-DAL,2724,0.16312056737588654,11.060097051138484,0.015051395007342145,34.107551487414185,247.0,-1.1205186512422871,-1.0882093268046746,-0.27698991379373794,0.5305003906180057,-0.4888043753056735,SAT,DAL,29.533701,-98.469803,32.844776,-96.847653
SAT-DEN,3003,0.19811954331766285,16.63734049697784,0.005328005328005328,25.04915254237288,794.0,-0.50225855165062,-0.17678984513326051,-1.0033585781864989,-0.3457409406819299,-0.5070369789130773,SAT,DEN,29.533701,-98.469803,39.860027,-104.673792
SAT-DFW,4432,0.2405538605961042,25.243839474301808,0.03564981949458484,45.56292682926829,247.0,0.24734753026213036,1.229663165765864,1.2617790316892845,1.6386071764845591,1.0943492260504595,SAT,DFW,29.533701,-98.469803,32.896801,-97.038002
SAT-HOU,1469,0.23113854595336078,12.919753086419753,0.005445881552076242,23.922848664688427,192.0,0.08102513904721786,-0.7843088863410989,-0.9945528429166263,-0.4546911001105733,-0.5381319225802701,SAT,HOU,29.533701,-98.469803,29.645336,-95.276812
SAT-IAH,2391,0.18482407799915218,14.461636286562102,0.011710581346716854,26.575688073394495,191.0,-0.737124158164785,-0.5323381053058972,-0.526559501836721,-0.19807538365639585,-0.49852428724094977,SAT,IAH,29.533701,-98.469803,29.9844,-95.3414
SAT-LAS,2150,0.1591015442208704,10.62798315395414,0.0037209302325581397,33.34705882352941,1069.0,-1.1915150615434107,-1.1588243229079151,-1.1234122867342016,0.4569360545483282,-0.7542039041592998,SAT,LAS,29.533701,-98.469803,36.083361,-115.151817
SAT-LAX,1990,0.12828282828282828,9.958585858585858,0.002512562814070352,26.433070866141733,1211.0,-1.735930487207267,-1.268215591533986,-1.213681241986293,-0.2118710988051361,-1.1074246048831704,SAT,LAX,29.533701,-98.469803,33.942501,-118.407997
SAT-MCO,1174,0.20869565217391303,16.137391304347826,0.016183986371379896,27.825,1041.0,-0.3154306248668375,-0.25849031928932675,-0.19238167494600844,-0.07722635145772593,-0.21088224263997465,SAT,MCO,29.533701,-98.469803,28.429399490356445,-81.30899810791016
SAT-ORD,1949,0.23578947368421052,18.633684210526315,0.018471010774756286,31.064732142857142,1041.0,0.1631842012681357,0.14944776136707935,-0.021533553447347815,0.2361609505517896,0.13181483993491422,SAT,ORD,29.533701,-98.469803,41.9786,-87.9048
SAT-PHX,2507,0.16680064308681672,14.659967845659164,0.006382130035899481,45.75180722891566,843.0,-1.055509778430419,-0.4999272470482794,-0.924612052393787,1.6568780446421238,-0.20579275830759042,SAT,PHX,29.533701,-98.469803,33.435302,-112.005905
SAT-SLC,1010,0.15484515484515485,12.077922077922079,0.00891089108910891,38.645161290322584,1087.0,-1.2667045677652102,-0.9218788505843227,-0.7357054211300439,0.9694346083250581,-0.4887135577886298,SAT,SLC,29.533701,-98.469803,40.78886,-111.979866
SAV-ATL,2938,0.13032928942807626,10.831195840554592,0.01701837985023826,28.40159574468085,215.0,-1.6997795645752354,-1.1256158027332026,-0.13004978279687932,-0.021450819158212796,-0.7442239923158827,SAV,ATL,32.126591,-81.19998,33.6367,-84.428101
SAV-BOS,1089,0.3383742911153119,30.094517958412098,0.02662993572084481,23.43016759776536,901.0,1.9753543501049753,2.0223491786098196,0.5879645342992815,-0.5023493581102678,1.020829676225952,SAV,BOS,32.126591,-81.19998,42.36197,-71.0079
SAV-CLT,2366,0.15311827956989246,14.03483870967742,0.016483516483516484,53.140449438202246,213.0,-1.2972099768789582,-0.6020843213497822,-0.17000580658392647,2.371599677597831,0.07557489319629107,SAV,CLT,32.126591,-81.19998,35.2140007019043,-80.94309997558594
SAV-DCA,1074,0.2445759368836292,28.513806706114398,0.0521415270018622,46.625,519.0,0.31839787442726525,1.7640332122669657,2.493762933463152,1.7413441407876533,1.579384540236259,SAV,DCA,32.126591,-81.19998,38.8521,-77.037697
SAV-DFW,1064,0.26356589147286824,26.080426356589147,0.02537593984962406,49.22794117647059,925.0,0.6538571528677501,1.3663761477312193,0.49428698601914506,1.9931330778397747,1.1269133411144723,SAV,DFW,32.126591,-81.19998,32.896801,-97.038002
SAV-EWR,1065,0.2451171875,29.017578125,0.03568075117370892,26.784860557768923,708.0,0.3279591158915343,1.8463583052883425,1.2640897281844101,-0.17784161196102397,0.8151413843508157,SAV,EWR,32.126591,-81.19998,40.6894,-74.170545
SAV-ORD,1366,0.24550898203592814,23.470808383233532,0.01683748169838946,24.274390243902438,773.0,0.3348802020743235,0.9399187617961443,-0.1435634599488675,-0.42068561379376784,0.1776374725319581,SAV,ORD,32.126591,-81.19998,41.9786,-87.9048
SAV-PHL,1033,0.22311557788944725,26.44824120603015,0.03484995159728945,59.0045045045045,630.0,-0.060701322963207335,1.4264835507312899,1.2020263121738075,2.938844225921198,1.3766631914657719,SAV,PHL,32.126591,-81.19998,39.871899,-75.241096
SBA-DEN,1124,0.20361990950226244,15.066968325791855,0.015124555160142349,13.875555555555556,916.0,-0.40509408173188705,-0.43341622413080527,-0.27152461370510883,-1.4265906094302208,-0.6341563822495055,SBA,DEN,34.426201,-119.839996,39.860027,-104.673792
SBA-PHX,1454,0.16981132075471697,15.9895178197065,0.013755158184319119,46.83539094650206,455.0,-1.0023258830532806,-0.2826554424426448,-0.37382299782376816,1.7616957773378779,0.025722863504546056,SBA,PHX,34.426201,-119.839996,33.435302,-112.005905
SBA-SFO,1588,0.3073482428115016,23.086900958466455,0.01322418136020151,19.86070686070686,262.0,1.427276379304893,0.8771815494996209,-0.41348868430524655,-0.8476321224529825,0.2608342805115712,SBA,SFO,34.426201,-119.839996,37.619806,-122.374821
SBN-ATL,1039,0.23663366336633662,28.115841584158417,0.021174205967276226,0.0,566.0,0.17809688893687817,1.698998725481741,0.18040387232057248,-2.768807412453879,-0.17782698142867182,SBN,ATL,41.708304,-86.316922,33.6367,-84.428101
SBN-CLT,1034,0.2175226586102719,22.790533736153073,0.037717601547388784,36.2037037037037,534.0,-0.15950075173231118,0.8287499429598766,1.4162490403471053,0.7332663782668818,0.7046911524603882,SBN,CLT,41.708304,-86.316922,35.2140007019043,-80.94309997558594
SBN-ORD,2552,0.339133953864832,33.888709024686364,0.030564263322884012,34.295942720763726,84.0,1.9887738618059951,2.6423866018579942,0.8818715337945133,0.5487239405098775,1.5154389844920952,SBN,ORD,41.708304,-86.316922,41.9786,-87.9048
SBP-PHX,1242,0.17263843648208468,20.500814332247558,0.011272141706924315,32.10377358490566,509.0,-0.9523846260842969,0.45456959875464453,-0.5593123612896058,0.3366699987820833,-0.18011434745929367,SBP,PHX,35.236801147499996,-120.641998291,33.435302,-112.005905
SBP-SFO,1177,0.30300429184549355,23.429184549356222,0.009345794392523364,10.575070821529746,191.0,1.3505400896107798,0.9331166966781269,-0.703216737444716,-1.7458546598241398,-0.04135365274498731,SBP,SFO,35.236801147499996,-120.641998291,37.619806,-122.374821
SDF-ATL,2684,0.11840607210626186,11.402656546489563,0.01676602086438152,32.61217948717949,321.0,-1.910404285169958,-1.032229091993979,-0.1489018154263864,0.3858493589926457,-0.6764214583994195,SDF,ATL,38.1706,-85.735076,33.6367,-84.428101
SDF-CLT,1719,0.19784817692767484,23.244471010161387,0.025596276905177427,47.716012084592144,335.0,-0.507052263660335,0.902931261922497,0.5107468768634509,1.8468804377941637,0.6883765782299441,SDF,CLT,38.1706,-85.735076,35.2140007019043,-80.94309997558594
SDF-DCA,1017,0.2280334728033473,20.94979079497908,0.05703048180924287,37.169724770642205,474.0,0.026173738875955668,0.5279402340728317,2.8589836734341403,0.8267119850339967,1.059952407854231,SDF,DCA,38.1706,-85.735076,38.8521,-77.037697
SDF-DEN,1108,0.18864468864468864,14.132783882783883,0.010830324909747292,14.645631067961165,1024.0,-0.6696327229256525,-0.5860783607400647,-0.5923175053242785,-1.3520993007248174,-0.8000319724287033,SDF,DEN,38.1706,-85.735076,39.860027,-104.673792
SDF-DFW,2039,0.2700357325165901,30.022970903522204,0.03482099068170672,41.56899810964083,733.0,0.7681474845245427,2.0106571339077886,1.1998628380906775,1.2522645744821193,1.3077330077512819,SDF,DFW,38.1706,-85.735076,32.896801,-97.038002
SDF-DTW,1225,0.17613168724279835,19.468312757201645,0.00816326530612245,4.4672897196261685,306.0,-0.8906760330440205,0.2858407169169177,-0.7915554857024335,-2.3366754303037043,-0.9332665580333102,SDF,DTW,38.1706,-85.735076,42.21377,-83.353786
SDF-LGA,1161,0.1692169216921692,11.934293429342935,0.040482342807924204,10.595744680851064,659.0,-1.012825996662871,-0.9453502930114639,1.6227841564984558,-1.7438548262857043,-0.5198117398653959,SDF,LGA,38.1706,-85.735076,40.777199,-73.872597
SDF-MDW,1003,0.13705583756345177,10.011167512690355,0.01694915254237288,38.007407407407406,271.0,-1.5809544787497574,-1.2596228262378797,-0.13522128664605038,0.9077430980705657,-0.5170138733907804,SDF,MDW,38.1706,-85.735076,41.785999,-87.752403
SDF-ORD,2615,0.20140789988267502,15.533437622213532,0.02026768642447419,28.790291262135923,286.0,-0.4441694332501417,-0.35718695271941714,0.11268392986569362,0.016148659486034233,-0.16813094915445773,SDF,ORD,38.1706,-85.735076,41.9786,-87.9048
SEA-ANC,6835,0.2694982980612698,14.895367766760396,0.010680321872713972,12.85502471169687,1448.0,0.7586536558930114,-0.46145876774321515,-0.6035232174532799,-1.5253090817210548,-0.45790935275613465,SEA,ANC,47.447943,-122.310276,61.179004,-149.992561
SEA-ATL,3266,0.1933684536721413,13.058568329718005,0.006429883649724434,16.221153846153847,2182.0,-0.586186983222324,-0.7616240388311041,-0.9210447029572348,-1.1996950861353668,-0.8671377027865075,SEA,ATL,47.447943,-122.310276,33.6367,-84.428101
SEA-AUS,2073,0.2326829268292683,15.180487804878048,0.00964785335262904,14.49475890985325,1770.0,0.10830676796500362,-0.41486514853349893,-0.6806519559584729,-1.3666935376842022,-0.5884759685527926,SEA,AUS,47.447943,-122.310276,30.197535,-97.662015
SEA-BLI,1308,0.1795472287275566,9.869633099141296,0.020642201834862386,26.195652173913043,93.0,-0.830340181445417,-1.2827520338990197,0.14066144258600416,-0.23483719603889053,-0.5518169921993307,SEA,BLI,47.447943,-122.310276,48.79280090332031,-122.53800201416016
SEA-BNA,1437,0.2617874736101337,13.79521463757917,0.008350730688935281,17.427419354838708,1978.0,0.6224412392490488,-0.641243101078271,-0.777551215152318,-1.0830100403955982,-0.4698407793442846,SEA,BNA,47.447943,-122.310276,36.1245,-86.6782
SEA-BOI,3988,0.1579476861167002,8.987424547283702,0.0027582748244734203,13.678343949044587,399.0,-1.2118980701087378,-1.426920397512405,-1.195325759926264,-1.4456673758307077,-1.3199529008445285,SEA,BOI,47.447943,-122.310276,43.5644,-116.223
SEA-BOS,2434,0.26555323590814195,19.402922755741127,0.01191454396055875,16.833333333333332,2496.0,0.6889637734305719,0.2751548428258202,-0.5113228347598854,-1.1404774504256583,-0.17192041723228788,SEA,BOS,47.447943,-122.310276,42.36197,-71.0079
SEA-BUR,1586,0.21761658031088082,11.240284974093264,0.021437578814627996,18.779761904761905,937.0,-0.15784161633163843,-1.0587634571850855,0.20007867603380508,-0.9521946012095237,-0.49218024967311064,SEA,BUR,47.447943,-122.310276,34.202834,-118.35805
SEA-BZN,1341,0.19684447783621337,10.78061607813674,0.005965697240865026,15.133587786259541,543.0,-0.5247826995816421,-1.1338814237866162,-0.9557209293506913,-1.3048980406508643,-0.9798207733424535,SEA,BZN,47.447943,-122.310276,45.778853,-111.153711
